SampleID,Trap,Collection
X2018_Igg_35B_1LAug,Igg35,Aug_I
X2018_Igg_35B_1LJuli,Igg35,July_I
X2018_Igg_35B_1LJuni,Igg35,June_I
X2018_Igg_35B_1LMai,Igg35,May_I
X2018_Igg_35B_1LSep,Igg35,Sep_I
X2018_Igg_35B_2LAug,Igg35,Aug_II
X2018_Igg_35B_2LJuli,Igg35,July_II
X2018_Igg_35B_2LJuni,Igg35,June_II
X2018_Igg_35B_2LMai,Igg35,May_II
X2018_Igg_35B_2LSep,Igg35,Sep_II
X2018_Jos_21_1LAug,Jos21,Aug_I
X2018_Jos_21_1LJuli,Jos21,July_I
X2018_Jos_21_1LJuni,Jos21,June_I
X2018_Jos_21_1LMai,Jos21,May_I
X2018_Jos_21_1LSep,Jos21,Sep_I
X2018_Jos_21_2LAug,Jos21,Aug_II
X2018_Jos_21_2LJuli,Jos21,July_II
X2018_Jos_21_2LJuni,Jos21,June_II
X2018_Jos_21_2LMai,Jos21,May_II
X2018_Jos_21_2LSep,Jos21,Sep_II
X2018_Sal_25_1LJuni,Sal25,Aug_I
X2018_Sal_25_1LAug,Sal25,July_I
X2018_Sal_25_1LJuli,Sal25,June_I
X2018_Sal_25_1LMai,Sal25,May_I
X2018_Sal_25_1LSep,Sal25,Sep_I
X2018_Sal_25_2LAug,Sal25,Aug_II
X2018_Sal_25_2LJuli,Sal25,July_II
X2018_Sal_25_2LJuni,Sal25,June_II
X2018_Sal_25_2LSep,Sal25,May_II
X2018_Sal_25_2Mai,Sal25,Sep_II
X2018_T1_02B_1LAug,T1_02,Aug_I
X2018_T1_02B_1LJuli,T1_02,July_I
X2018_T1_02B_1LJuni,T1_02,June_I
X2018_T1_02B_1LMai,T1_02,May_I
X2018_T1_02B_1LSep,T1_02,Sep_I
X2018_T1_02B_2LAug,T1_02,Aug_II
X2018_T1_02B_2LJuli,T1_02,July_II
X2018_T1_02B_2LJuni,T1_02,June_II
X2018_T1_02B_2LMai,T1_02,May_II
X2018_T1_02B_2LSep,T1_02,Sep_II
X2018_T1_34B_1LAug,T1_34,Aug_I
X2018_T1_34B_1LJuli,T1_34,July_I
X2018_T1_34B_1LJuni,T1_34,June_I
X2018_T1_34B_1LMai,T1_34,May_I
X2018_T1_34B_1LSep,T1_34,Sep_I
X2018_T1_34B_2LAug,T1_34,Aug_II
X2018_T1_34B_2LJuli,T1_34,July_II
X2018_T1_34B_2LJuni,T1_34,June_II
X2018_T1_34B_2LMai,T1_34,May_II
X2018_T1_34B_2LSep,T1_34,Sep_II
X2018_T1_52B_1LAug,T1_52,Aug_I
X2018_T1_52B_1LJuli,T1_52,July_I
X2018_T1_52B_1LJuni,T1_52,June_I
X2018_T1_52B_1LMai,T1_52,May_I
X2018_T1_52B_1LSep,T1_52,Sep_I
X2018_T1_52B_2LAug,T1_52,Aug_II
X2018_T1_52B_2LJuli,T1_52,July_II
X2018_T1_52B_2LJuni,T1_52,June_II
X2018_T1_52B_2LMai,T1_52,May_II
X2018_T1_52B_2LSep,T1_52,Sep_II
X2018_T1_63B_1LAug,T1_63,Aug_I
X2018_T1_63B_1LJuli,T1_63,July_I
X2018_T1_63B_1LJuni,T1_63,June_I
X2018_T1_63B_1LMai,T1_63,May_I
X2018_T1_63B_1LSep,T1_63,Sep_I
X2018_T1_63B_2LAug,T1_63,Aug_II
X2018_T1_63B_2LJuli,T1_63,July_II
X2018_T1_63B_2LJuni,T1_63,June_II
X2018_T1_63B_2LMai,T1_63,May_II
X2018_T1_63B_2LSep,T1_63,Sep_II
X2018_T3_50B_1LAug,T3_50,Aug_I
X2018_T3_50B_1LJuli,T3_50,July_I
X2018_T3_50B_1LJuni,T3_50,June_I
X2018_T3_50B_1LMai,T3_50,May_I
X2018_T3_50B_1LSep,T3_50,Sep_I
X2018_T3_50B_2LAug,T3_50,Aug_II
X2018_T3_50B_2LJuli,T3_50,July_II
X2018_T3_50B_2LJuni,T3_50,June_II
X2018_T3_50B_2LMai,T3_50,May_II
X2018_T3_50B_2LSep,T3_50,Sep_II
X2018_T4_64B_1LAug,T4_64,Aug_I
X2018_T4_64B_1LJuli,T4_64,July_I
X2018_T4_64B_1LJuni,T4_64,June_I
X2018_T4_64B_1LMai,T4_64,May_I
X2018_T4_64B_1LSep,T4_64,Sep_I
X2018_T4_64B_2LAug,T4_64,Aug_II
X2018_T4_64B_2LJuli,T4_64,July_II
X2018_T4_64B_2LJuni,T4_64,June_II
X2018_T4_64B_2LMai,T4_64,May_II
X2018_T4_64B_2LSep,T4_64,Sep_II
